iter	Passed	Remaining
720	987	382
721	989	380
722	990	379
723	991	378
724	992	376
725	994	375
726	995	373
727	996	372
728	998	371
729	999	369
730	1000	368
731	1002	366
732	1003	365
733	1004	364
734	1006	362
735	1007	361
736	1008	359
737	1009	358
738	1011	357
739	1012	355
740	1013	354
741	1015	352
742	1016	351
743	1017	350
744	1019	348
745	1020	347
746	1021	346
747	1023	344
748	1024	343
749	1025	341
750	1027	340
751	1028	339
752	1029	337
753	1031	336
754	1032	335
755	1033	333
756	1035	332
757	1036	330
758	1037	329
759	1039	328
760	1040	326
761	1041	325
762	1043	323
763	1044	322
764	1045	321
765	1046	319
766	1048	318
767	1049	317
768	1050	315
769	1052	314
770	1053	312
771	1054	311
772	1056	310
773	1057	308
774	1058	307
775	1059	305
776	1061	304
777	1062	303
778	1063	301
779	1065	300
780	1066	299
781	1067	297
782	1069	296
783	1070	294
784	1071	293
785	1073	292
786	1074	290
787	1075	289
788	1076	288
789	1078	286
790	1079	285
791	1080	283
792	1082	282
793	1083	281
794	1084	279
795	1086	278
796	1087	277
797	1088	275
798	1090	274
799	1091	272
800	1092	271
801	1094	270
802	1095	268
803	1096	267
804	1098	266
805	1099	264
806	1100	263
807	1101	261
808	1103	260
809	1104	259
810	1105	257
811	1107	256
812	1108	254
813	1109	253
814	1111	252
815	1112	250
816	1113	249
817	1115	248
818	1116	246
819	1117	245
820	1119	244
821	1120	242
822	1121	241
823	1123	239
824	1124	238
825	1125	237
826	1127	235
827	1128	234
828	1129	233
829	1131	231
830	1132	230
831	1133	228
832	1135	227
833	1136	226
834	1137	224
835	1139	223
836	1140	222
837	1141	220
838	1143	219
839	1144	218
840	1146	216
841	1147	215
842	1148	213
843	1149	212
844	1151	211
845	1152	209
846	1153	208
847	1155	207
848	1156	205
849	1157	204
850	1159	202
851	1160	201
852	1161	200
853	1163	198
854	1164	197
855	1166	196
856	1167	194
857	1169	193
858	1170	192
859	1172	190
860	1173	189
861	1175	188
862	1176	186
863	1178	185
864	1179	184
865	1181	182
866	1182	181
867	1184	180
868	1185	178
869	1187	177
870	1188	176
871	1190	174
872	1191	173
873	1192	171
874	1194	170
875	1195	169
876	1196	167
877	1198	166
878	1199	165
879	1201	163
880	1202	162
881	1203	161
882	1205	159
883	1206	158
884	1207	156
885	1209	155
886	1210	154
887	1211	152
888	1213	151
889	1214	150
890	1216	148
891	1217	147
892	1218	146
893	1220	144
894	1221	143
895	1223	141
896	1224	140
897	1225	139
898	1226	137
899	1228	136
900	1229	135
901	1230	133
902	1232	132
903	1233	131
904	1235	129
905	1236	128
906	1237	126
907	1239	125
908	1240	124
909	1241	122
910	1243	121
911	1244	120
912	1245	118
913	1247	117
914	1248	115
915	1250	114
916	1251	113
917	1252	111
918	1254	110
919	1255	109
920	1256	107
921	1258	106
922	1259	105
923	1260	103
924	1262	102
925	1263	100
926	1264	99
927	1266	98
928	1267	96
929	1269	95
930	1270	94
931	1271	92
932	1273	91
933	1274	90
934	1275	88
935	1277	87
936	1278	85
937	1279	84
938	1281	83
939	1282	81
940	1284	80
941	1285	79
942	1286	77
943	1287	76
944	1289	75
945	1290	73
946	1291	72
947	1293	70
948	1294	69
949	1295	68
950	1297	66
951	1298	65
952	1300	64
953	1301	62
954	1302	61
955	1304	60
956	1305	58
957	1306	57
958	1307	55
959	1309	54
960	1310	53
961	1311	51
962	1313	50
963	1314	49
964	1316	47
965	1317	46
966	1318	45
967	1320	43
968	1321	42
969	1322	40
970	1324	39
971	1325	38
972	1326	36
973	1327	35
974	1329	34
975	1330	32
976	1332	31
977	1333	29
978	1334	28
979	1336	27
980	1337	25
981	1338	24
982	1340	23
983	1341	21
984	1342	20
985	1344	19
986	1345	17
987	1346	16
988	1348	14
989	1349	13
990	1350	12
991	1352	10
992	1353	9
993	1354	8
994	1356	6
995	1357	5
996	1358	4
997	1360	2
998	1361	1
999	1362	0
