iter	Accuracy	Logloss
221	0.9197635135	0.2006132923
222	0.9196483415	0.2004299494
223	0.9199938575	0.2001990377
224	0.9201090295	0.1997346672
225	0.9204929361	0.1994210374
226	0.9204929361	0.1991532044
227	0.9206848894	0.1987431443
228	0.921414312	0.1984293287
229	0.9215678747	0.1980094479
230	0.921529484	0.1978572697
231	0.9218366093	0.19767653
232	0.921990172	0.1974374546
233	0.922105344	0.1972323401
234	0.9221437346	0.1971738545
235	0.922220516	0.1970201251
236	0.922105344	0.196790346
237	0.9221821253	0.1964418746
238	0.9220669533	0.1963957952
239	0.922220516	0.1962620259
240	0.9222972973	0.195957028
241	0.9225276413	0.1957345758
242	0.92245086	0.1956130844
243	0.9229115479	0.1952403468
244	0.9228731572	0.1949319018
245	0.9230651106	0.1947455415
246	0.9236793612	0.1944682393
247	0.9238329238	0.1942173685
248	0.9236793612	0.1939960935
249	0.9237177518	0.1938167453
250	0.9237945332	0.1935695753
251	0.9243703931	0.1932966899
252	0.9242936118	0.1931215781
253	0.9245239558	0.192834926
254	0.9245623464	0.1926283164
255	0.9247542998	0.1923730352
256	0.9248310811	0.192101409
257	0.9250230344	0.1919078607
258	0.9253685504	0.1915221267
259	0.9258292383	0.1910578819
260	0.9260595823	0.1907652623
261	0.926328317	0.1905516709
262	0.926213145	0.1903113058
263	0.9265586609	0.1899625821
264	0.9267122236	0.1896467482
265	0.9267506143	0.1894529462
266	0.9269809582	0.1888332043
267	0.9272113022	0.1885941236
268	0.9274800369	0.1883861621
269	0.9274800369	0.1882532298
270	0.9276335995	0.1880600187
271	0.9278255528	0.1878152763
272	0.9278255528	0.187612231
273	0.9281326781	0.187062563
274	0.9281710688	0.1869771023
275	0.9282478501	0.1866552849
276	0.9285165848	0.1864523844
277	0.9286317568	0.1861720376
278	0.9289004914	0.1859839622
279	0.929284398	0.1854907515
280	0.9292460074	0.1853406629
281	0.9291308354	0.1849830785
282	0.92939957	0.1847505488
283	0.9296683047	0.1841186688
284	0.9295531327	0.1839045175
285	0.930090602	0.183478336
286	0.930205774	0.1833403121
287	0.9303209459	0.1832120905
288	0.9303593366	0.1829716675
289	0.9303593366	0.1828897762
290	0.9305128993	0.1826438681
291	0.9306280713	0.1824953801
292	0.9308584152	0.1822478679
293	0.9314726658	0.1817766142
294	0.9316646192	0.1813984792
295	0.9317797912	0.1812045963
296	0.9317414005	0.1810943634
297	0.9315878378	0.1809881357
298	0.9318949631	0.1807228716
299	0.9321253071	0.1804431566
300	0.9322404791	0.1800757468
301	0.933046683	0.1791244626
302	0.9330082924	0.1788603448
303	0.9334305897	0.1785734852
